"",Unnamed: 0,id,author_id,conversation_id,created_at,lang,retweet_count,reply_count,like_count,quote_count,reply_settings,text,hashtags,hashtag_count,uppercase_count,uppercase_pct,exclamation_mark_count,question_mark_count,url_count,mention_count,emojie_count,followers_count,engagement_score,sentiment_score,sentiment_category,avg_replies_sentiment,avg_quotes_sentiment,avg_conversation_sentiment,var_replies_sentiment,var_quotes_sentiment,var_conversation_sentiment,pct_similar_sentiment_replies,pct_similar_sentiment_quotes,clean_text,var_replies_semantic,var_quotes_semantic,var_conversation_semantic,GS_controversiality_score,index,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,Culture,politic,health,illness,wellness,mental,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP
0,0.0,1.55375e+18,1.42153e+18,1.55375e+18,2022-07-31T14:28:31.000Z,en,1,0,0,0,everyone,This is biblical scale disinformation and mind games to create panic to destroy your civilization. #ZaidHamid #GlobalReset #WEF #NWO #FoodSecurity   #EnergyCrisis #BuildBackBetter #GlobalWarming  #HAARP  #WeatherUpdatehttps://t.co/UphrMfrLX6,"['ZaidHamid' 'GlobalReset' 'WEF' 'NWO' 'FoodSecurity' 'EnergyCrisis'
 'BuildBackBetter' 'GlobalWarming' 'HAARP' 'WeatherUpdatehttps']",10,3,15,0,0,1,0,0,191.0,0.005208333,-0.6908,Negative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,this biblical scale disinformation mind game create panic destroy civilization zaidhamid globalreset wef nwo foodsecurity energycrisis buildbackbetter globalwarming haarp weatherupdate,0.0,0.0,0.0,3.0,,1,29,76.81,78.45,2.1,1,14.5,41.38,44.83,31.03,20.69,6.9,3.45,0,0,3.45,0,0,3.45,6.9,0,3.45,6.9,3.45,0,3.45,0,6.9,0,3.45,6.9,0,3.45,3.45,13.79,3.45,10.34,6.9,0,6.9,3.45,0,0,0,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45,48.28,6.9,0,0,0,0,41.38
1,1.0,1.55378e+18,1.51238e+18,1.55378e+18,2022-07-31T16:40:39.000Z,en,0,0,0,0,everyone,"Abortion, the January 6th hearings, gun control legislation, gender and sex ideology, coronavirus, climate change, student loans... the flagship issues in the Democratic program are all loser issues - Red Wave: Trump Could Help DeSantis to Historic Win in 2024 https://tinyurl.",[],0,0,5,0,0,1,0,0,2.0,0.0,0.2732,Positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,abortion january 6th hearing gun control legislation gender sex ideology coronavirus climate change student loan flagship issue democratic program loser issue red wave trump could help desantis historic win 2024,0.0,0.0,0.0,3.0,,1,42,96.35,67.92,12.96,1,21,35.71,61.9,35.71,26.19,0,0,0,0,0,0,0,0,11.9,7.14,4.76,7.14,4.76,0,2.38,0,4.76,9.52,4.76,9.52,2.38,4.76,4.76,14.29,4.76,9.52,2.38,0,2.38,0,0,0,0,7.14,2.38,2.38,0,0,0,0,7.14,4.76,4.76,2.38,0,0,0,0,0,0,0,0,0,2.38,0,0,30.95,9.52,14.29,0,0,0,7.14
2,2.0,1.55382e+18,436791564.0,1.55382e+18,2022-07-31T19:24:02.000Z,en,2,0,3,0,everyone,"[Kano Nigeria] Many thanks to our devoted volunteers. In an effort to mitigate the consequences of climate change on our communities, the Panacea Foundation commenced the planting of 3000 seedlings in Minjibir. By the end of 2022, we hope to have planted 100,000 seedlings, https://t.co/huyOFhk8CY",[],0,0,5,0,0,1,0,0,1559.0,0.003205128,0.8176,Positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kano nigeria many thanks devoted volunteer in effort mitigate consequence climate change community panacea foundation commenced planting 3000 seedling minjibir by end 2022 hope planted 100000 seedling,0.0,0.0,0.0,0.0,,1,49,99,97.11,1.55,51.68,16.33,32.65,65.31,46.94,40.82,6.12,6.12,0,6.12,0,0,0,0,16.33,10.2,8.16,20.41,2.04,0,0,0,6.12,2.04,2.04,10.2,8.16,2.04,0,6.12,4.08,2.04,4.08,2.04,2.04,0,0,0,0,12.24,4.08,4.08,2.04,0,0,2.04,2.04,0,0,0,0,0,0,0,2.04,0,0,0,0,0,2.04,0,22.45,6.12,8.16,0,0,0,8.16
3,3.0,1.55387e+18,1.29787e+18,1.55387e+18,2022-07-31T22:29:05.000Z,en,0,0,1,0,everyone,climate change (taylor’s version),[],0,0,0,0,0,0,0,0,36.0,0.027027027,0.0,Neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,climate change taylor version,0.0,0.0,0.0,0.0,,1,4,89.52,1,99,20.23,4,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,25,50
4,4.0,1.55381e+18,258896387.0,1.55381e+18,2022-07-31T18:31:00.000Z,en,1,1,2,0,everyone,Matt's Weather Rapport: #Kentucky mega flash flood and climate change is weighing on me more than most recent disasters. Details: https://t.co/sNVaF4K2K5 #climatecrisis https://t.co/fub71TzTaF,['Kentucky' 'climatecrisis'],2,0,8,0,0,2,0,0,1541.0,0.002594034,-0.5965,Negative,-0.2263,0.0,-0.2263,0.0,0.0,0.0,100.0,0.0,matts weather rapport kentucky mega flash flood climate change weighing recent disaster details climatecrisis,0.0,0.0,0.0,1.0,,1,31,77.83,11.07,17.19,1.4,15.5,32.26,51.61,35.48,22.58,3.23,3.23,3.23,0,0,0,0,0,6.45,0,6.45,6.45,3.23,0,6.45,0,3.23,3.23,16.13,0,0,0,0,9.68,3.23,6.45,6.45,0,6.45,0,0,0,0,3.23,3.23,3.23,0,0,0,3.23,6.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.71,9.68,0,0,0,3.23,25.81
5,5.0,1.55358e+18,1.51793e+18,1.55358e+18,2022-07-31T03:32:38.000Z,en,0,0,1,0,everyone,drove alone for the first time today. it is now time to contribute to global warming,[],0,0,0,0,0,0,0,0,564.0,0.001769912,-0.1027,Negative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,drove alone first time today time contribute global warming,0.0,0.0,0.0,3.0,,1,16,89.52,40.06,99,20.23,8,12.5,81.25,75,56.25,6.25,0,0,0,0,0,0,6.25,12.5,6.25,6.25,18.75,6.25,12.5,0,0,12.5,25,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,6.25,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,6.25,0,0,0,0,0
6,6.0,1.55375e+18,14473569.0,1.55375e+18,2022-07-31T14:33:51.000Z,en,0,0,0,0,everyone,Another reason to do something about climate change. Your phone doesn't like when it's above 40 C ;) https://t.co/XV6rbIwZxw,[],0,1,7,0,0,1,0,0,14335.0,0.0,-0.0541,Negative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,another reason something climate change your phone doesnt like 40 c,0.0,0.0,0.0,1.0,,1,23,14.64,40.06,74.45,20.23,11.5,17.39,73.91,56.52,47.83,17.39,4.35,0,0,4.35,0,0,13.04,8.7,0,8.7,17.39,13.04,8.7,4.35,4.35,13.04,0,4.35,0,0,0,0,8.7,4.35,4.35,8.7,4.35,4.35,0,0,0,0,8.7,4.35,0,0,0,0,4.35,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.09,8.7,0,0,0,8.7,8.7
7,7.0,1.55385e+18,26855173.0,1.55385e+18,2022-07-31T20:52:00.000Z,en,0,0,0,0,everyone,"Climate change has no winners, except maybe rattlesnakes (and snakey paid politicians who cash in on it or do nothing about it?) https://t.co/wyWjbksIMY",[],0,0,4,0,1,1,0,0,3219.0,0.0,-0.3724,Negative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,climate change winner except maybe rattlesnake snakey paid politician cash nothing,0.0,0.0,0.0,3.0,,1,27,23.88,2.75,27.44,20.23,13.5,22.22,70.37,59.26,51.85,11.11,3.7,0,0,0,0,0,7.41,3.7,0,0,14.81,7.41,7.41,7.41,7.41,11.11,0,0,7.41,0,3.7,3.7,7.41,3.7,3.7,3.7,0,3.7,0,0,0,0,3.7,0,0,0,0,0,0,7.41,3.7,0,0,0,0,0,0,0,0,0,0,0,3.7,0,0,25.93,3.7,3.7,3.7,0,0,14.81
8,8.0,1.55357e+18,9.28054e+17,1.55357e+18,2022-07-31T02:49:41.000Z,en,0,0,1,0,everyone,Purchased carbon offsets to address 2 flights that I needed to take for work travel. It’s not the perfect solution to address climate change but it’s something. Gold Standard Marketplace ⁦@goldstandard⁩  #ClimateCrisis  https://t.co/zGlQIi5Ke0,['ClimateCrisis'],1,1,6,0,0,1,1,0,564.0,0.001769912,-0.357,Negative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,purchased carbon offset address 2 flight i needed take work travel its perfect solution address climate change something gold standard marketplace climatecrisis,0.0,0.0,0.0,2.0,,1,37,66.85,3.01,36.48,20.23,12.33,37.84,64.86,48.65,32.43,13.51,2.7,2.7,0,0,0,0,10.81,5.41,2.7,5.41,10.81,5.41,0,2.7,2.7,13.51,5.41,0,5.41,0,5.41,0,5.41,2.7,2.7,2.7,0,2.7,0,0,0,0,0,0,0,0,0,0,0,2.7,0,0,0,0,0,0,2.7,0,5.41,0,0,0,0,0,0,24.32,8.11,0,0,0,5.41,10.81
9,9.0,1.55362e+18,1.52422e+18,1.55362e+18,2022-07-31T06:07:03.000Z,en,1,0,1,0,everyone,"Evrrything that happens o/s eventually happens here.The Netherlands.Canada. New Zealand.Now Ireland. UK are running a farm 'buy back' scheme.Farmers is under attack worldwide, ALL in the name of #ClimateCrisis #ClimateChange #NoFarmersNoFood #DutchFarmers #IrishFarmers https://t.co/nvj4kz3bGd","['ClimateCrisis' 'ClimateChange' 'NoFarmersNoFood' 'DutchFarmers'
 'IrishFarmers']",5,2,10,0,0,1,0,0,113.0,0.01754386,-0.4767,Negative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,evrrything happens o eventually happens herethe netherlandscanada new zealandnow ireland uk running farm buy back schemefarmers attack worldwide all name climatecrisis climatechange nofarmersnofood dutchfarmers irishfarmers,0.0,0.0,0.0,3.0,,1,43,89.52,53.95,69.5,3.38,14.33,37.21,53.49,41.86,30.23,2.33,0,0,0,0,0,0,2.33,11.63,6.98,2.33,6.98,4.65,6.98,0,0,11.63,2.33,2.33,2.33,0,0,2.33,6.98,2.33,4.65,2.33,0,2.33,0,0,0,0,4.65,2.33,0,0,2.33,0,0,2.33,0,0,0,0,0,0,0,0,2.33,0,0,0,0,0,0,41.86,16.28,2.33,0,0,4.65,18.6
